symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
DJML,EQ,141.8,156.7,141.8,156.7,156.7,8304,2022-12-14,0.10507752874339356
TIL,BZ,166.55,184.05,166.55,184.05,184.05,66004,2022-12-14,0.10507354956073836
GICHSGFIN,EQ,170.0,193.9,170.0,187.75,186.55,4538780,2022-12-14,0.10441176470588236
YUKEN,EQ,492.25,569.0,490.5,543.35,536.0,81497,2022-12-14,0.10380899052501269
PGEL,EQ,1063.0,1180.0,1063.0,1169.95,1165.0,152449,2022-12-14,0.10061143101775635
SPYL,BE,0.5,0.55,0.5,0.55,0.55,51678,2022-12-14,0.10000002384185791
IVC,EQ,7.55,8.9,7.55,8.3,8.3,5495956,2022-12-14,0.09933774583481174
SETCO,EQ,11.8,13.7,11.8,12.95,13.0,702373,2022-12-14,0.09745759321539939
HATHWAY,EQ,17.5,19.35,17.35,19.15,19.2,26217299,2022-12-14,0.0942856924874442
CHEMBOND,EQ,248.45,274.7,248.0,271.55,271.3,296448,2022-12-14,0.09297641830737803
ARVEE,EQ,120.75,131.65,120.75,131.65,131.65,8493,2022-12-14,0.0902691005920031
UNIVASTU,EQ,104.0,120.7,101.05,113.25,112.25,839730,2022-12-14,0.0889423076923077
IDEA,EQ,7.95,8.95,7.75,8.65,8.65,515723820,2022-12-14,0.08805029258608771
UCOBANK,EQ,30.6,34.5,29.3,33.25,33.25,396389777,2022-12-14,0.08660129364361116
SURYODAY,EQ,117.2,134.0,117.2,127.1,127.4,3285011,2022-12-14,0.08447100498006788
HTMEDIA,EQ,21.75,24.45,21.75,23.55,23.65,2380338,2022-12-14,0.08275858561197917
PALASHSECU,EQ,95.6,116.25,95.6,116.25,116.25,20583,2022-12-13,0.21600420350915445
SITINET,EQ,1.75,2.1,1.7,2.1,2.1,39456943,2022-12-13,0.1999999455043248
UCOBANK,EQ,24.5,29.1,24.3,29.05,29.1,203920141,2022-12-13,0.18571425457389987
VMARCIND,SM,47.0,57.6,46.5,55.7,56.4,489000,2022-12-13,0.18510639921147773
INDBANK,EQ,29.25,34.55,28.85,34.45,34.55,10701554,2022-12-13,0.1777778038611779
CENTRALBK,EQ,33.95,40.2,33.1,39.6,39.95,215850847,2022-12-13,0.16642113650110132
SETFNIF50,EQ,166.6,192.86,166.6,192.79,192.31,309547,2022-12-13,0.15720279845814797
IOB,EQ,27.4,31.5,27.0,30.85,30.95,178535400,2022-12-13,0.12591243835661448
YESBANK,EQ,21.5,24.35,21.45,23.95,24.0,1288049180,2022-12-13,0.11395352385764898
SAKUMA,EQ,15.85,18.0,15.5,17.65,17.65,6482472,2022-12-13,0.11356461790151944
HUDCO,EQ,49.85,56.2,49.65,55.05,56.1,49094896,2022-12-13,0.10431295731411022
BAHETI,ST,97.8,108.0,97.8,108.0,108.0,921000,2022-12-13,0.10429444406912887
VSCL,SM,35.0,38.55,34.95,38.55,38.55,21000,2022-12-13,0.10142854963030135
ARROWGREEN,EQ,173.35,190.65,172.55,190.65,190.65,51683,2022-12-13,0.0997980224046724
SEAMECLTD,EQ,990.0,1098.7,970.0,1087.25,1093.0,109647,2022-12-13,0.09823232323232323
VSSL,EQ,278.7,314.8,278.0,305.7,311.35,989258,2022-12-13,0.09687835958881534
DKEGL,SM,55.0,61.5,55.0,60.25,60.0,66000,2022-12-13,0.09545454545454546
GOLDSTAR,SM,87.5,95.75,87.5,95.75,95.75,60000,2022-12-13,0.09428571428571429
DHANBANK,EQ,21.9,24.7,21.35,23.95,24.25,69486541,2022-12-13,0.09360735982271934
MOTOGENFIN,EQ,25.0,27.3,25.0,27.3,27.3,73975,2022-12-13,0.09199996948242188
MAHABANK,EQ,29.9,33.6,29.55,32.65,32.6,162452666,2022-12-13,0.09197330911149385
SWARAJ,SM,51.05,55.65,51.05,55.65,55.65,14000,2022-12-13,0.09010778369373443
ESSENTIA,BE,7.8,8.55,7.8,8.5,8.5,1466805,2022-12-13,0.08974356309588596
WIPL,BE,89.1,97.3,89.1,96.9,96.9,8682,2022-12-13,0.08754212329221651
SECURKLOUD,EQ,63.5,71.95,63.5,69.05,69.0,615388,2022-12-13,0.08740162286232775
BLBLIMITED,EQ,20.9,24.6,20.35,24.0,24.3,520066,2022-12-12,0.14832537981107027
CREATIVE,EQ,509.5,599.0,509.5,584.85,589.7,199420,2022-12-12,0.1478900404041953
FACT,EQ,157.7,182.8,154.6,177.5,181.5,7025342,2022-12-12,0.12555487276424146
MCL,EQ,30.35,34.1,30.35,34.1,34.1,212346,2022-12-12,0.12355841995115553
